Report ID,Category of Incident,Country of Incident,Date of Incident,Subject,Full Scientific Name,Common Name,Item / Commodity Type,Count,Quantity - Weight,Unit of Weight,Estimated Value,Currency,Value in USD
MOR25245,1. Seizure,Gabon,10/2/2019 0:00,6 tusks (25kg) seized in Libreville - 1 convicted,Elephantidae,Elephants,Tusk,6,25,Kilograms,,,
MOR25666,1. Seizure,India,10/4/2019 0:00,"77kg of sandalwood at the Chhatrapati Shivaji Maharaj International Airport, one Sudanese national",Pterocarpus santalinus,"Agaru, Red Sandalwood, Redsanders, Red Sanders, Saunderswood, Leno de Sandalo Rojo, Sándalo rojo, Bois de Santal Rouge, Santal rouge",Wood NES,,77,Kilograms,,,
MOR25667,1. Seizure,India,10/4/2019 0:00,"10kg sandalwood chips seized at Chhatrapati Shivaji Maharaj International Airport, one suspect",Pterocarpus santalinus,"Agaru, Red Sandalwood, Redsanders, Red Sanders, Saunderswood, Leno de Sandalo Rojo, Sándalo rojo, Bois de Santal Rouge, Santal rouge",Wood NES,,10,Kilograms,,,
MOR25672,1. Seizure,Congo,10/7/2019 0:00,"3 elephants tails, 1 ivory piece & 1 python sebbae skin seized in Sibiti, Republic of Congo - 1 arrested",Python sebae,"African Python, African Rock Python, Pitón de Seba, Python de Seba",Skin,1,,,,,
MOR25672,1. Seizure,Congo,10/7/2019 0:00,"3 elephants tails, 1 ivory piece & 1 python sebbae skin seized in Sibiti, Republic of Congo - 1 arrested",Elephantidae,Elephants,Tail,3,,,,,
MOR25672,1. Seizure,Congo,10/7/2019 0:00,"3 elephants tails, 1 ivory piece & 1 python sebbae skin seized in Sibiti, Republic of Congo - 1 arrested",Elephantidae,Elephants,Ivory Pieces - Raw,1,,,,,
MOR25673,1. Seizure,India,10/8/2019 0:00,"6.4 kg of sandalwood at Indira Gandhi International Airport, one Chinese national arrested",Pterocarpus santalinus,"Agaru, Red Sandalwood, Redsanders, Red Sanders, Saunderswood, Leno de Sandalo Rojo, Sándalo rojo, Bois de Santal Rouge, Santal rouge",Wood NES,2,6.400000095,Kilograms,,,
MOR25674,1. Seizure,Namibia,10/3/2019 0:00,"100 ivory pieces seized at Newcastle Street, Windhoek - 2 arrested",Elephantidae,Elephants,Ivory Pieces - Raw,100,,,,,
MOR25675,1. Seizure,Namibia,10/4/2019 0:00,"1 dead pangolin & 1 skin seized in Goreangap, Windhoek - 1 suspect arrested",Manis,,Individual - Dead,1,,,50000,NAD Namibian Dollar,3290.659912
MOR25675,1. Seizure,Namibia,10/4/2019 0:00,"1 dead pangolin & 1 skin seized in Goreangap, Windhoek - 1 suspect arrested",Manis,,Skin,1,,,,,
MOR25686,1. Seizure,Malaysia,10/5/2019 0:00,"148 pieces of hornbill ivory, feathers, pangolins scales and other widllife seized in Kapit, 1 arrested",Ursidae,"Bears, Osos, Ours",Bile Products,183,,,,,
MOR25686,1. Seizure,Malaysia,10/5/2019 0:00,"148 pieces of hornbill ivory, feathers, pangolins scales and other widllife seized in Kapit, 1 arrested",Rodentia-Hystricomorpha,Porcupine,Quills,96,,,,,
MOR25686,1. Seizure,Malaysia,10/5/2019 0:00,"148 pieces of hornbill ivory, feathers, pangolins scales and other widllife seized in Kapit, 1 arrested",Phasianidae,,Feathers,123,,,,,
MOR25686,1. Seizure,Malaysia,10/5/2019 0:00,"148 pieces of hornbill ivory, feathers, pangolins scales and other widllife seized in Kapit, 1 arrested",Trionychidae,,Meat,,35,Kilograms,,,
MOR25686,1. Seizure,Malaysia,10/5/2019 0:00,"148 pieces of hornbill ivory, feathers, pangolins scales and other widllife seized in Kapit, 1 arrested",Trionychidae,,Individual - Live,1,,,,,
MOR25686,1. Seizure,Malaysia,10/5/2019 0:00,"148 pieces of hornbill ivory, feathers, pangolins scales and other widllife seized in Kapit, 1 arrested",Manis,,Scales,16,,,,,
MOR25686,1. Seizure,Malaysia,10/5/2019 0:00,"148 pieces of hornbill ivory, feathers, pangolins scales and other widllife seized in Kapit, 1 arrested",Rhinoplax vigil,"Helmeted Hornbill, Cálao de casco, Cálao de Yelmo, Calao à casque, Calao à casque rond",Casque,148,,,,,
MOR25686,1. Seizure,Malaysia,10/5/2019 0:00,"148 pieces of hornbill ivory, feathers, pangolins scales and other widllife seized in Kapit, 1 arrested",Rhinoplax vigil,"Helmeted Hornbill, Cálao de casco, Cálao de Yelmo, Calao à casque, Calao à casque rond",Feathers,152,,,,,
MOR25720,1. Seizure,India,10/10/2019 0:00,"Live reptiles seized at Chennai International Airport, two suspects arrested",Hydrosaurus,Sailfin Lizard,Individual - Live,4,,,,,
MOR25720,1. Seizure,India,10/10/2019 0:00,"Live reptiles seized at Chennai International Airport, two suspects arrested",Varanus reisingeri,,Individual - Live,1,,,,,
MOR25720,1. Seizure,India,10/10/2019 0:00,"Live reptiles seized at Chennai International Airport, two suspects arrested",Morelia viridis,"Green Tree Python, Python arboricole vert australien",Individual - Live,1,,,,,
MOR25720,1. Seizure,India,10/10/2019 0:00,"Live reptiles seized at Chennai International Airport, two suspects arrested",Morelia amethistina,"Amethystine (Rock) Python, Scrub Python, Pitón ametista, Python améthiste, Python de la brousse, Python des rochers",Individual - Live,1,,,,,
MOR25720,1. Seizure,India,10/10/2019 0:00,"Live reptiles seized at Chennai International Airport, two suspects arrested",Varanus beccarii,"Black Tree Monitor, Varano arborícola negro, Varan arboricole noir",Individual - Live,2,,,,,
MOR25720,1. Seizure,India,10/10/2019 0:00,"Live reptiles seized at Chennai International Airport, two suspects arrested",Varanus prasinus,"Emerald Monitor, Varano verde, Varan émeraude",Individual - Live,5,,,,,
MOR25720,1. Seizure,India,10/10/2019 0:00,"Live reptiles seized at Chennai International Airport, two suspects arrested",Varanus macraei,,Individual - Live,2,,,,,
MOR25775,1. Seizure,Equatorial Guinea,10/14/2019 0:00,Seven containers of kevazingo seized in Bata- Equatorial Guinea,Guibourtia tessmannii,Bubinga,Roundwood,,,,,,
MOR25777,1. Seizure,Pakistan,10/13/2019 0:00,7 falcons seized in Kohat and Dera Ismail Khan,Falco,,Individual - Live,7,,,,,
MOR25798,1. Seizure,Viet Nam,10/7/2019 0:00,"5 live Javan pangolins (32.7kg) seized in Tan Lien, Quang Tri - 1 arrested, 1 absconded",Manis javanica,"Malayan Pangolin, Sunda Pangolin, Pangolín malayo, Pangolin javanais, Pangolin malais",Individual - Unknown,5,32.70000076,Kilograms,250000000,VND Vietnamese Dong,10737.40039
MOR25799,1. Seizure,Kenya,10/15/2019 0:00,"1 ivory bangle (60g) seized at Jomo Kenyatta Airport, Kenya - 1 Chinese national arrested",Elephantidae,Elephants,Ivory - Worked,1,0.059999999,Kilograms,,,
MOR25801,1. Seizure,Hong Kong,10/14/2019 0:00,"27 kilograms of dried shark fin seized in Hong Kong International Airport from DRC, One 40-year-old male passenger arrested",Elasmobranchii,,Fins,,27,Kilograms,,,
MOR25806,1. Seizure,Philippines,10/11/2019 0:00,"14kg of agarwood seized in Quezon City, PH - 3 individuals (1 Chinese) arrested",Aquilaria,,Wood NES,,14,Kilograms,2500000,PHP Philippine Peso,48462.10156
MOR25807,1. Seizure,Malaysia,10/10/2019 0:00,Animals seized from a farm in Sibu district,Crocodylidae,"Cocodrilos, Crocodiles",Individual - Live,2,,,,,
MOR25807,1. Seizure,Malaysia,10/10/2019 0:00,Animals seized from a farm in Sibu district,Macaca,,Individual - Live,1,,,,,
MOR25807,1. Seizure,Malaysia,10/10/2019 0:00,Animals seized from a farm in Sibu district,Psittacidae,"Amazons, Macaws, Parakeets, Parrots, Amazonas, Cotorras, Guacamayos, Periquitos, Loros, Amazones, Aras, Perruches, Perroquets",Individual - Live,1,,,,,
MOR25807,1. Seizure,Malaysia,10/10/2019 0:00,Animals seized from a farm in Sibu district,Sciuridae,,Individual - Live,3,,,,,
MOR25807,1. Seizure,Malaysia,10/10/2019 0:00,Animals seized from a farm in Sibu district,Accipitridae,"Hawks, Eagles, Gavilanes, Águilas, Aigles, Milan De Wilson, Pygargues",Individual - Live,1,,,,,
MOR25807,1. Seizure,Malaysia,10/10/2019 0:00,Animals seized from a farm in Sibu district,Anthracoceros albirostris,"Indian Pied Hornbill, Malaysian Pied-Hornbill, Northern Pied-Hornbill, Oriental Pied-Hornbill, Sunda Pied Hornbill, Cálao cariblanco, Calao pie",Individual - Live,1,,,,,
MOR25807,1. Seizure,Malaysia,10/10/2019 0:00,Animals seized from a farm in Sibu district,Columbidae,,Individual - Live,1,,,,,
MOR25807,1. Seizure,Malaysia,10/10/2019 0:00,Animals seized from a farm in Sibu district,Leucopsar rothschildi,"Bali Myna, Bali Starling, Rothschild's Myna, Rothschild's Starling, White Starling, Estornino de Rothschild, Miná de Rothschild, Étourneau de Rothschild, Mainate de Rothschild, Martin de Rothschild, Sansonnet de Rothschild",Individual - Live,2,,,,,
MOR25807,1. Seizure,Malaysia,10/10/2019 0:00,Animals seized from a farm in Sibu district,Hystricidae,,Individual - Live,6,,,,,
MOR25807,1. Seizure,Malaysia,10/10/2019 0:00,Animals seized from a farm in Sibu district,Helarctos malayanus,"Malayan Sun Bear, Sun Bear, Oso de los cocoteros, Oso de sol, Oso malayo, Ours des cocotiers, Ours malais",Individual - Live,1,,,,,
MOR25807,1. Seizure,Malaysia,10/10/2019 0:00,Animals seized from a farm in Sibu district,Arctictis binturong,"Bearcat, Binturong",Individual - Live,1,,,,,
MOR25814,1. Seizure,India,10/15/2019 0:00,13 parrots seized at Indira Gandhi International Airport - 1 arrested,Psittacidae,"Amazons, Macaws, Parakeets, Parrots, Amazonas, Cotorras, Guacamayos, Periquitos, Loros, Amazones, Aras, Perruches, Perroquets",Individual - Live,13,,,,,
MOR25815,1. Seizure,India,10/16/2019 0:00,"1 tiger skin, 110 tiger bones and 1 skull seized in Jalpaiguri, West Bengal - 2 arrested",Panthera tigris tigris,Bengal Tiger,Skin,1,,,,,
MOR25815,1. Seizure,India,10/16/2019 0:00,"1 tiger skin, 110 tiger bones and 1 skull seized in Jalpaiguri, West Bengal - 2 arrested",Panthera tigris tigris,Bengal Tiger,Bone,110,,,,,
MOR25815,1. Seizure,India,10/16/2019 0:00,"1 tiger skin, 110 tiger bones and 1 skull seized in Jalpaiguri, West Bengal - 2 arrested",Panthera tigris tigris,Bengal Tiger,Skull,1,,,,,
MOR25817,1. Seizure,Cote d'Ivoire,10/15/2019 0:00,3 tusks seized in Ivory Coast - 3 people arrested,Elephantidae,Elephants,Tusk,3,,,,,
MOR25818,1. Seizure,Zimbabwe,10/15/2019 0:00,7 ivory pieces (21 kg) seizured Dhaka Shopping Centre - 3 arrested,Elephantidae,Elephants,Ivory Pieces - Raw,7,21,Kilograms,,,
MOR25940,1. Seizure,Gabon,10/18/2019 0:00,2 tusks (in 4 pieces) seized in Makokou - 3 nationals convicted,Elephantidae,Elephants,Ivory Pieces - Raw,4,,,,,
MOR25943,1. Seizure,Namibia,10/13/2019 0:00,buffalo meat seized in Ngoma - 2 arrested,Syncerus caffer,African buffalo,Meat,,,,,,
MOR25947,1. Seizure,Namibia,10/14/2019 0:00,"2 kudu horns, 7 kudu hides & civet skin seized in Divundu - 1 arrested",Viverridae,,Skin,1,,,,,
MOR25947,1. Seizure,Namibia,10/14/2019 0:00,"2 kudu horns, 7 kudu hides & civet skin seized in Divundu - 1 arrested",Tragelaphus strepsiceros,Greater Kudu,Horn,2,,,,,
MOR25947,1. Seizure,Namibia,10/14/2019 0:00,"2 kudu horns, 7 kudu hides & civet skin seized in Divundu - 1 arrested",Tragelaphus strepsiceros,Greater Kudu,Skin,7,,,,,
MOR25948,1. Seizure,Namibia,10/16/2019 0:00,4 warthog carcasses seized in Zambezi Region - 6 Zambian nationals arrested,Phacochoerus africanus,Common Warthog,Individual - Dead,4,,,,,
MOR25950,1. Seizure,Namibia,10/18/2019 0:00,4 tusks at Rundu - 2 nationals arrested,Elephantidae,Elephants,Tusk,4,,,,,
MOR25970,1. Seizure,Indonesia,10/17/2019 0:00,108 birds meant to be sent to China seized at Kualanamu Airport - 3 people arrested,Copsychus malabaricus,White-rumped Shama,Individual - Live,1,,,,,
MOR25970,1. Seizure,Indonesia,10/17/2019 0:00,108 birds meant to be sent to China seized at Kualanamu Airport - 3 people arrested,Chloropsis sonnerati,Greater Green Leafbird,Individual - Live,7,,,,,
MOR25970,1. Seizure,Indonesia,10/17/2019 0:00,108 birds meant to be sent to China seized at Kualanamu Airport - 3 people arrested,Chloropsis sonnerati,Greater Green Leafbird,Individual - Dead,1,,,,,
MOR25970,1. Seizure,Indonesia,10/17/2019 0:00,108 birds meant to be sent to China seized at Kualanamu Airport - 3 people arrested,Zosterops,,Individual - Live,24,,,,,
MOR25970,1. Seizure,Indonesia,10/17/2019 0:00,108 birds meant to be sent to China seized at Kualanamu Airport - 3 people arrested,Zosterops,,Individual - Dead,53,,,,,
MOR25970,1. Seizure,Indonesia,10/17/2019 0:00,108 birds meant to be sent to China seized at Kualanamu Airport - 3 people arrested,Copsychus saularis,Oriental Magpie-Robin,Individual - Live,11,,,,,
MOR25970,1. Seizure,Indonesia,10/17/2019 0:00,108 birds meant to be sent to China seized at Kualanamu Airport - 3 people arrested,Copsychus saularis,Oriental Magpie-Robin,Individual - Dead,6,,,,,
MOR25970,1. Seizure,Indonesia,10/17/2019 0:00,108 birds meant to be sent to China seized at Kualanamu Airport - 3 people arrested,Geokichla,,Individual - Live,2,,,,,
MOR25970,1. Seizure,Indonesia,10/17/2019 0:00,108 birds meant to be sent to China seized at Kualanamu Airport - 3 people arrested,Saxicola caprata,Pied Bush Chat,Individual - Live,3,,,,,
MOR26026,1. Seizure,Zimbabwe,10/6/2019 0:00,"1 pangolin & 6 tusks seized in Chigano, Manicaland  – 2 charged",Manis,,Individual - Live,1,,,3000,USD US Dollar,3000
MOR26026,1. Seizure,Zimbabwe,10/6/2019 0:00,"1 pangolin & 6 tusks seized in Chigano, Manicaland  – 2 charged",Elephantidae,Elephants,Tusk,6,,,,,
