iata_a,iata_b
ABJ,ORD
ACA,QRO
ACC,BEY
ACC,DXB
ACC,LIN
ACC,SAW
ADD,BEY
ADD,BKK
ADD,BKO
ADD,CAI
ADD,CAN
ADD,CTU
ADD,DAR
ADD,DEL
ADD,DOH
ADD,HKG
ADD,KUL
ADD,LAD
ADD,NBO
ADD,PEK
ADD,PVG
AJL,CCU
AMM,ORD
AMQ,CGK
AMS,HGH
AMS,HKG
AOG,HRB
APL,NBO
ATH,MUC
ATM,MAO
AUH,PVG
BAQ,BOG
BEL,MAO
BEW,JNB
BGF,NBO
BKI,CAN
BKK,AJL
BKK,CAN
BKK,CGO
BKK,CMB
BKK,HAN
BKK,KIX
BKK,KMG
BKK,KWE
BKK,LPQ
BKK,LYA
BKK,MAA
BKK,MNL
BKK,NKG
BKK,NNG
BKK,NRT
BKK,SGN
BKK,SWA
BKK,TAO
BKK,TNA
BKK,TSA
BKK,VTE
BLR,BKK
BNE,ZQN
BOG,LET
BOG,PVA
BPN,BNE
BPN,ICN
BPN,SUB
BPS,FCO
BRU,HKG
BSB,GRU
BVB,BSB
CAG,CDG
CAI,CAN
CAI,LEJ
CAN,CMB
CAN,KUL
CAN,MAA
CCU,BLR
CCU,HYD
CDG,CAN
CEB,MFM
CGK,BKK
CGK,BPN
CGK,FOC
CGK,HKG
CGK,JOG
CGK,MNL
CGK,NRT
CGK,PEN
CGK,SIN
CGK,SRG
CGK,TNJ
CGK,XMN
CGO,MFM
CKG,HKG
CKY,NBO
CMB,LGW
CMB,SIN
CMN,DOH
CMN,DXB
CMN,MAD
CPT,JNB
CSX,VTE
CXR,CGO
CXR,DSN
CXR,KMG
CXR,OVB
DAD,KMG
DAR,ADD
DAR,VIE
DCA,PHL
DEL,HKG
DEL,TAS
DJJ,PLM
DME,HKG
DME,JFK
DME,LAX
DME,WUH
DOH,BKK
DOH,CAN
DOH,DME
DOH,HAN
DOH,HGH
DOH,HKG
DOH,KUL
DOH,PEW
DOH,SGN
DUS,DME
DXB,BKK
DXB,HAN
DXB,HKG
DXB,KHI
DXB,LAD
DXB,SGN
DXB,SIN
DYU,URC
EBB,DOH
FBM,ADD
FBM,NBO
FCO,RMI
FIH,ADD
FIH,CMN
FIH,HKG
FIH,NBO
FIH,SAW
FNA,DCA
FRA,CTU
FRA,DME
FRA,TAO
GEO,JFK
GOA,SUB
GRU,REC
HAH,ADD
HAN,SGN
HKG,CAN
HKG,CSX
HKG,DLC
HKG,FOC
HKG,HGH
HKG,JJN
HKG,KMG
HKG,MFM
HKG,MNL
HKG,PVG
HKG,SGN
HKG,SYX
HKG,TAO
HKG,WNZ
HKG,WUH
HKG,YIW
HKT,TNA
HMO,MEX
HRE,ADD
HRE,DXB
ICN,CTU
ICN,TNA
IMF,DEL
ISB,BHX
JFK,MIA
JNB,DOH
JNB,DXB
JNB,HKG
JNB,PVG
JNB,SAW
JNB,SIN
JOG,KUL
JUB,CAI
KAN,SAW
KBP,YYZ
KGF,SHJ
KIX,HAN
KIX,HKG
KIX,TAO
KJA,DME
KMG,CTU
KNH,XMN
KSE,FIH
KUL,BKK
KUL,CGK
KUL,HAN
KUL,MAA
KUL,NNG
KUL,TRZ
KWE,KIX
LAD,ADD
LAD,BKK
LAD,DXB
LAD,HKG
LAD,SGN
LAE,HKG
LAP,SLP
LAX,HKG
LEJ,TLV
LEN,TIJ
LET,IQT
LFW,HKG
LHR,HKG
LIM,MAD
LIN,AQJ
LIS,DME
LLW,ADD
LLW,JNB
LOP,CGK
LOP,SIN
LOS,AUH
LOS,DOH
LOS,DXB
LOS,NBO
LOS,SAW
LPQ,HAK
LPQ,LHW
LUM,KMG
LUN,JNB
MAA,CMB
MAA,DXB
MAA,SIN
MAD,BIO
MAD,HKG
MAO,BSB
MAO,GIG
MAO,LIS
MAO,TBT
MEX,CJS
MEX,JFK
MEX,MAD
MEX,NRT
MEX,PVG
MEX,TIJ
MFM,NNG
MFM,XMN
MIA,GCM
MIA,RDU
MID,CJS
MID,HKG
MID,MEX
MID,TIJ
MLG,CGK
MNL,CAN
MNL,CEB
MNL,HKG
MNL,JFK
MNL,JJN
MNL,TSA
MNL,XMN
MPM,ADD
MPM,DOH
MPM,SAW
MTY,MID
MUC,CDG
MUC,HAN
MYQ,HYD
MZT,MEX
MZT,TIJ
NAP,CPH
NBO,BKK
NBO,CAN
NBO,CSX
NBO,DAR
NBO,DLA
NBO,DXB
NBO,DZA
NBO,HAN
NBO,VTE
NLD,HKG
NNG,JDZ
NRT,CAN
NRT,DLC
NRT,LEJ
NRT,TAO
NSK,KJA
PBM,AMS
PDG,CGK
PEK,DCA
PEK,TSA
PEK,TSN
PEN,CAN
PEN,CGK
PEN,JOG
PEN,TRK
PER,HKG
PER,KUL
PHL,ATL
PLM,JOG
PNH,MFM
PNH,NNG
PNH,SZX
PNH,TNA
PNH,XMN
PNH,YIW
PNH,ZHA
POM,HKG
PQC,JJN
PQC,KMG
PQC,LHW
PTP,BLQ
PTY,MEX
PVG,SWA
QRO,REX
REC,MCZ
RGN,CKG
RGN,HAN
RGN,KMG
RMQ,NKG
ROB,BRU
ROB,NBO
RUN,BKK
SAW,CAN
SAW,HAN
SAW,HKG
SAW,KUL
SAW,NAP
SAW,SGN
SGN,CKG
SGN,HAN
SGN,LAX
SIN,CMB
SIN,FCO
SIN,HKG
