iata,degree_centrality
CDG,0.119565
FRA,0.118012
AMS,0.11646
IST,0.108696
ORD,0.094203
ATL,0.093685
MUC,0.093685
DME,0.089545
LHR,0.085921
DXB,0.083851
LGW,0.083333
DFW,0.082816
JFK,0.081781
BCN,0.080745
FCO,0.079193
EWR,0.078675
MAD,0.07764
STN,0.075569
IAH,0.074534
LAX,0.073499
DUS,0.072981
BRU,0.072464
DEN,0.071429
YYZ,0.071429
DUB,0.070911
MAN,0.070911
SVO,0.070393
VIE,0.068323
ZRH,0.068323
MIA,0.067288
LAS,0.0647
PEK,0.062629
CPH,0.059524
CLT,0.059006
PMI,0.059006
BKK,0.057971
IAD,0.057971
HKG,0.056936
AGP,0.055383
ORY,0.055383
ARN,0.054348
MXP,0.054348
PVG,0.054348
SAW,0.054348
DOH,0.053313
ATH,0.052795
LED,0.052277
LIS,0.052277
PHL,0.05176
CAN,0.051242
DTW,0.051242
ICN,0.050725
GVA,0.050207
SFO,0.050207
SIN,0.049172
MCO,0.048654
DEL,0.048137
BOS,0.047619
FLL,0.047619
OSL,0.047101
MEX,0.046584
PRG,0.046066
NRT,0.045549
ALC,0.045031
MSP,0.045031
DCA,0.044513
GRU,0.044513
KUL,0.043996
PHX,0.043478
CGN,0.042961
LTN,0.042961
SEA,0.042961
EDI,0.042443
NCE,0.042443
CRL,0.041925
BOM,0.041408
CMN,0.041408
HAM,0.041408
YUL,0.04089
MRS,0.040373
TFS,0.039855
JED,0.039337
LPA,0.039337
WAW,0.039337
AUH,0.03882
BGY,0.03882
BHX,0.03882
HEL,0.03882
CUN,0.038302
TLV,0.038302
CAI,0.037785
STR,0.037785
BUD,0.037267
SLC,0.037267
YVR,0.036749
BOG,0.036232
BWI,0.036232
MLA,0.036232
LGA,0.035714
VCE,0.035714
JNB,0.035197
MDW,0.035197
BRS,0.034679
RUH,0.034679
SHJ,0.034679
VKO,0.034679
LYS,0.034161
MNL,0.034161
RIX,0.033126
BLQ,0.032609
CTU,0.032609
PTY,0.032609
TPA,0.032609
OTP,0.032091
SYD,0.031573
BSL,0.031056
PSA,0.031056
OPO,0.030538
EIN,0.030021
GLA,0.030021
BVA,0.029503
FAO,0.029503
VLC,0.029503
AYT,0.028986
KBP,0.028986
TPE,0.028468
ADD,0.02795
HER,0.02795
LIM,0.02795
NBO,0.02795
NTE,0.02795
SAN,0.02795
PDX,0.027433
HND,0.026915
IBZ,0.026915
SVX,0.026398
SZX,0.026398
ACE,0.02588
BEG,0.02588
EMA,0.02588
GIG,0.02588
LCA,0.02588
MCT,0.02588
NAP,0.02588
SKG,0.02588
TUN,0.02588
BOD,0.024845
CIA,0.024845
RAK,0.024845
STL,0.024845
CGK,0.024327
CKG,0.024327
KRK,0.024327
KWI,0.024327
MEL,0.024327
XIY,0.024327
YYC,0.024327
AMM,0.02381
CTA,0.02381
HAJ,0.02381
LBA,0.02381
VCP,0.02381
BSB,0.023292
HNL,0.023292
OVB,0.023292
BNA,0.022774
DMM,0.022774
FUE,0.022774
HHN,0.022774
HOU,0.022774
LPL,0.022774
TAS,0.022774
XMN,0.022774
ADB,0.022257
ALG,0.022257
GDN,0.022257
SFB,0.022257
TLS,0.022257
AUS,0.021739
KIX,0.021739
KMG,0.021739
LUX,0.021739
NCL,0.021739
SJU,0.021739
VNO,0.021739
CVG,0.021222
AEP,0.020704
BLR,0.020704
BNE,0.020704
BRI,0.020704
CLE,0.020704
DMK,0.020704
GDL,0.020704
MAA,0.020704
WUH,0.020704
HGH,0.020186
MCI,0.020186
MSQ,0.020186
MSY,0.020186
RDU,0.020186
BGO,0.019669
CAG,0.019669
ESB,0.019669
EZE,0.019669
SOF,0.019669
SVQ,0.019669
BEY,0.019151
CSX,0.019151
NRN,0.019151
PMO,0.019151
SCL,0.019151
SGN,0.019151
TSF,0.019151
BAH,0.018634
CMB,0.018634
PUJ,0.018634
RHO,0.018634
SHA,0.018634
SJO,0.018634
ALA,0.018116
GRO,0.018116
NKG,0.018116
PIT,0.018116
BIO,0.017598
BRE,0.017598
LIN,0.017598
SAT,0.017598
CCU,0.017081
CHQ,0.017081
HAK,0.017081
HYD,0.017081
IND,0.017081
LCY,0.017081
MTY,0.017081
TIJ,0.017081
BLL,0.016563
CGO,0.016563
EVN,0.016563
HAN,0.016563
KRR,0.016563
RSW,0.016563
SPU,0.016563
TAO,0.016563
IKA,0.016046
LOS,0.016046
PER,0.016046
AZA,0.015528
CNF,0.015528
GYD,0.015528
OAK,0.015528
TSN,0.015528
WRO,0.015528
CMH,0.01501
GOT,0.01501
KEF,0.01501
MKE,0.01501
TRF,0.01501
CCS,0.014493
CFU,0.014493
DAC,0.014493
DBV,0.014493
FNC,0.014493
ISB,0.014493
NYO,0.014493
SJC,0.014493
SMF,0.014493
SVG,0.014493
SYX,0.014493
TRN,0.014493
YEG,0.014493
AKL,0.013975
DLC,0.013975
HKT,0.013975
KTM,0.013975
KTW,0.013975
ORK,0.013975
SAL,0.013975
SDQ,0.013975
SSA,0.013975
ABZ,0.013458
AHO,0.013458
BDL,0.013458
DTM,0.013458
KHI,0.013458
LEJ,0.013458
MEM,0.013458
NUE,0.013458
OLB,0.013458
RTM,0.013458
SXB,0.013458
ZAG,0.013458
DLM,0.01294
FLR,0.01294
JAX,0.01294
LHE,0.01294
LIL,0.01294
NNG,0.01294
PIE,0.01294
WMI,0.01294
ACC,0.012422
BFS,0.012422
DPS,0.012422
DYU,0.012422
HRG,0.012422
JER,0.012422
KIV,0.012422
NAS,0.012422
NGO,0.012422
SHE,0.012422
SXM,0.012422
CEB,0.011905
CPT,0.011905
MBJ,0.011905
PFO,0.011905
POA,0.011905
