iata,degree_centrality
HKG,0.141479
BKK,0.099678
ADD,0.07074
CGK,0.057878
NBO,0.057878
CAN,0.051447
DOH,0.048232
DXB,0.045016
SIN,0.045016
DME,0.038585
KUL,0.038585
SAW,0.038585
JNB,0.03537
HAN,0.032154
MEX,0.032154
SGN,0.032154
KMG,0.028939
MNL,0.028939
MAA,0.025723
PNH,0.025723
XMN,0.025723
NRT,0.022508
FIH,0.019293
MAD,0.019293
MAO,0.019293
MFM,0.019293
PVG,0.019293
TAO,0.019293
TNR,0.019293
TSA,0.019293
CMB,0.016077
JFK,0.016077
KIX,0.016077
LAD,0.016077
LOS,0.016077
MID,0.016077
NNG,0.016077
PEK,0.016077
PEN,0.016077
TIJ,0.016077
VTE,0.016077
ACC,0.012862
BPN,0.012862
CAI,0.012862
CDG,0.012862
CGO,0.012862
CMN,0.012862
CTU,0.012862
CXR,0.012862
DCA,0.012862
DEL,0.012862
FRA,0.012862
JOG,0.012862
NKG,0.012862
TNA,0.012862
AMS,0.009646
AUH,0.009646
BOG,0.009646
BSB,0.009646
CCU,0.009646
CKG,0.009646
CSX,0.009646
DAR,0.009646
FCO,0.009646
HGH,0.009646
ICN,0.009646
JJN,0.009646
LAX,0.009646
LEJ,0.009646
LPQ,0.009646
MIA,0.009646
MPM,0.009646
MUC,0.009646
PQC,0.009646
RGN,0.009646
SLP,0.009646
SUB,0.009646
AJL,0.006431
BEY,0.006431
BLR,0.006431
BNE,0.006431
BRU,0.006431
CEB,0.006431
CJS,0.006431
DLC,0.006431
FBM,0.006431
FOC,0.006431
GRU,0.006431
HRE,0.006431
HYD,0.006431
KJA,0.006431
KNH,0.006431
KWE,0.006431
LET,0.006431
LHW,0.006431
LIN,0.006431
LIS,0.006431
LLW,0.006431
LOP,0.006431
MTY,0.006431
MZT,0.006431
NAP,0.006431
ORD,0.006431
PER,0.006431
PHL,0.006431
PLM,0.006431
QRO,0.006431
REC,0.006431
ROB,0.006431
SWA,0.006431
SYX,0.006431
TRZ,0.006431
WUH,0.006431
YIW,0.006431
YYZ,0.006431
ABJ,0.003215
ACA,0.003215
AGU,0.003215
AMM,0.003215
AMQ,0.003215
AOG,0.003215
APL,0.003215
AQJ,0.003215
ATH,0.003215
ATL,0.003215
ATM,0.003215
BAQ,0.003215
BEL,0.003215
BEW,0.003215
BGF,0.003215
BHX,0.003215
BIO,0.003215
BKI,0.003215
BKO,0.003215
BLQ,0.003215
BPS,0.003215
BVB,0.003215
CAG,0.003215
CKY,0.003215
CPH,0.003215
CPT,0.003215
DAD,0.003215
DJJ,0.003215
DLA,0.003215
DSN,0.003215
DUS,0.003215
DYU,0.003215
DZA,0.003215
EBB,0.003215
FNA,0.003215
FUK,0.003215
GCM,0.003215
GEO,0.003215
GIG,0.003215
GOA,0.003215
HAH,0.003215
HAK,0.003215
HKT,0.003215
HMO,0.003215
HRB,0.003215
IMF,0.003215
IQT,0.003215
ISB,0.003215
JDZ,0.003215
JUB,0.003215
KAN,0.003215
KBP,0.003215
KGF,0.003215
KHI,0.003215
KSE,0.003215
LAE,0.003215
LAP,0.003215
LEN,0.003215
LFW,0.003215
LGW,0.003215
LHR,0.003215
LIM,0.003215
LUM,0.003215
LUN,0.003215
LYA,0.003215
MCZ,0.003215
MLG,0.003215
MYQ,0.003215
NLD,0.003215
NSK,0.003215
NTG,0.003215
OVB,0.003215
PBM,0.003215
PDG,0.003215
PEW,0.003215
POM,0.003215
PTP,0.003215
PTY,0.003215
PVA,0.003215
RDU,0.003215
REX,0.003215
RMI,0.003215
RMQ,0.003215
RUN,0.003215
SHJ,0.003215
SRG,0.003215
SSG,0.003215
SYD,0.003215
SZX,0.003215
TAS,0.003215
TBT,0.003215
TIA,0.003215
TKG,0.003215
TLH,0.003215
TLS,0.003215
TLV,0.003215
TNJ,0.003215
TRK,0.003215
TRV,0.003215
TSN,0.003215
UPG,0.003215
URC,0.003215
VIE,0.003215
VNO,0.003215
VVO,0.003215
WDH,0.003215
WNZ,0.003215
WUX,0.003215
YNJ,0.003215
YVR,0.003215
ZAG,0.003215
ZHA,0.003215
ZQN,0.003215
ADL,0.0
AKL,0.0
ALC,0.0
ALG,0.0
BCD,0.0
BCN,0.0
BGI,0.0
BOM,0.0
BOS,0.0
BRI,0.0
BRS,0.0
BTH,0.0
BZV,0.0
CGQ,0.0
CGY,0.0
COO,0.0
CRK,0.0
CTA,0.0
CUN,0.0
CUU,0.0
CZX,0.0
DAC,0.0
DAL,0.0
DMK,0.0
DRW,0.0
DUB,0.0
DUR,0.0
DVO,0.0
EWR,0.0
FKB,0.0
GDL,0.0
GPS,0.0
GVA,0.0
HAJ,0.0
HAM,0.0
HAV,0.0
HDG,0.0
HDY,0.0
HFE,0.0
HNL,0.0
HTA,0.0
IAD,0.0
IAH,0.0
KBV,0.0
KHN,0.0
KHV,0.0
KTM,0.0
KWL,0.0
LBV,0.0
LVI,0.0
LYI,0.0
MBA,0.0
MEL,0.0
MGA,0.0
MLA,0.0
MSP,0.0
NDG,0.0
NGB,0.0
NLA,0.0
NSI,0.0
OAX,0.0
PDX,0.0
POL,0.0
PSA,0.0
SBW,0.0
SDK,0.0
SEA,0.0
SEZ,0.0
SHE,0.0
SJW,0.0
SOF,0.0
STR,0.0
SXR,0.0
TAP,0.0
TPE,0.0
UUS,0.0
VCE,0.0
VRN,0.0
WAW,0.0
XIY,0.0
XNN,0.0
YIC,0.0
YUL,0.0
ZRH,0.0
